country,year,series,value
Kuwait,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.96
Kuwait,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.96
Kuwait,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.65
Kuwait,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),51.65
Kyrgyzstan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.6
Kyrgyzstan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),23.6
Kyrgyzstan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),23.6
Kyrgyzstan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),23.6
Laos,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.54
Laos,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.52
Laos,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),48.68
Laos,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),48.68
Latvia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),91.05
Latvia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),97.3
Latvia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),97.3
Latvia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),97.3
Lebanon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),4.37
Lebanon,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),4.38
Lebanon,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),4.66
Lebanon,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),4.66
Lesotho,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),39.55
Lesotho,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),44.91
Lesotho,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.68
Lesotho,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),51.68
Liberia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.79
Liberia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.79
Liberia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),15.79
Liberia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),15.79
Libya,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Libya,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Libya,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Libya,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Liechtenstein,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),80.8
Liechtenstein,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),80.8
Liechtenstein,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),80.8
Liechtenstein,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),80.8
Lithuania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),88.38
Lithuania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),90.96
Lithuania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),91.82
Lithuania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),91.82
Luxembourg,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),63.26
Luxembourg,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),63.26
Luxembourg,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),84.73
Luxembourg,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),84.73
Madagascar,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.28
Madagascar,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),23.8
Madagascar,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.58
Madagascar,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),26.58
Malawi,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),70.77
Malawi,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),70.77
Malawi,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),70.77
Malawi,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),70.77
Malaysia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),24.83
Malaysia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.56
Malaysia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),37.03
Malaysia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),37.03
Maldives,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Maldives,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Maldives,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Maldives,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Mali,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),61.58
Mali,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),61.58
Mali,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),61.58
Mali,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),61.58
Malta,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),86.39
Malta,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),90.06
Malta,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),90.85
Malta,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),90.85
Mauritania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),11.17
Mauritania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.17
Mauritania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),11.17
Mauritania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),11.17
Mauritius,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),8.96
Mauritius,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),9.02
Mauritius,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),9.64
Mauritius,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),9.64
Mexico,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),26.71
Mexico,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.84
Mexico,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),38.11
Mexico,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),38.37
"Micronesia, Fed States Of",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.02
"Micronesia, Fed States Of",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.02
"Micronesia, Fed States Of",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.02
"Micronesia, Fed States Of",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.02
Mongolia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.65
Mongolia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.67
Mongolia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.17
Mongolia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.17
Montenegro,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),18.79
Montenegro,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),18.79
Montenegro,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),27.04
Montenegro,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),27.04
Morocco,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.1
Morocco,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.46
Morocco,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.45
Morocco,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),59.45
Mozambique,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.24
Mozambique,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.19
Mozambique,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),41.23
Mozambique,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),41.23
Namibia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),42.32
Namibia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),83.47
Namibia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),86.18
Namibia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),86.18
Nauru,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Nauru,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Nauru,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Nauru,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Nepal,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),44.69
Nepal,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.66
Nepal,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.67
Nepal,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),51.67
Netherlands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),64.68
Netherlands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),67.54
Netherlands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),79.67
Netherlands,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),79.67
New Zealand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),43.98
New Zealand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.45
New Zealand,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),46.22
New Zealand,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),46.22
Nicaragua,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),67.22
Nicaragua,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),67.22
Nicaragua,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),68.68
Nicaragua,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),68.68
Niger,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.44
Niger,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),23.44
Niger,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),54.69
Niger,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),54.69
Nigeria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),66.36
Nigeria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),79.88
Nigeria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),79.88
Nigeria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),79.88
Norway,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),50.77
Norway,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),52.76
Norway,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8
Norway,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8
Oman,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.46
Oman,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),19.46
Oman,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),23.65
Oman,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),27.16
Pakistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.79
Pakistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.79
Pakistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),34.79
Pakistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),34.79
Palau,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.02
Palau,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),44.3
Palau,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),48.06
Palau,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),48.06
Panama,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),47.75
Panama,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),54.28
Panama,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),54.95
Panama,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),54.95
Papua New Guinea,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),6.87
Papua New Guinea,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),7.22
Papua New Guinea,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),7.31
Papua New Guinea,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),7.31
Paraguay,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.41
Paraguay,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.16
Paraguay,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),36.25
Paraguay,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),36.25
Peru,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.86
Peru,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.44
Peru,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),28.84
Peru,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),28.84
Philippines,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.97
Philippines,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),25.4
Philippines,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),42.79
Philippines,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),42.79
Poland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),70.15
Poland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),85.59
Poland,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),88.72
Poland,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),88.72
Portugal,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),50.18
Portugal,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),73.92
Portugal,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),77.3
Portugal,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),77.3
Qatar,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Qatar,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),59.99
Qatar,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.99
Qatar,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),59.99
"Korea, South",2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.94
"Korea, South",2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.79
"Korea, South",2021,Important sites for terrestrial biodiversity protected (% of total sites protected),37.58
"Korea, South",2023,Important sites for terrestrial biodiversity protected (% of total sites protected),37.58
Romania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),17.38
Romania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),64.97
Romania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),75.96
Romania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),75.96
Russia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.36
Russia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.74
Russia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),25.48
Russia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),25.48
Rwanda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),52.93
Rwanda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),52.93
Rwanda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),57.65
Rwanda,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),57.65
St Kitts & Nevis,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
St Kitts & Nevis,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),22.35
St Kitts & Nevis,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),56.82
St Kitts & Nevis,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),56.82
St Lucia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.57
St Lucia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56
St Lucia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56
St Lucia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.56
St Vincent & The Grenadines,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),45.64
St Vincent & The Grenadines,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),45.64
St Vincent & The Grenadines,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.64
St Vincent & The Grenadines,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.64
Samoa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),46.24
Samoa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),47.0
Samoa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),47.05
Samoa,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),47.05
Saudi Arabia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),17.97
Saudi Arabia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),17.97
Saudi Arabia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),23.31
Saudi Arabia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),23.31
Senegal,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),40.95
Senegal,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.95
Senegal,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.41
Senegal,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.41
Serbia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.99
Serbia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.55
Serbia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),31.6
Serbia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),31.6
Seychelles,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.86
Seychelles,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.33
Seychelles,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),52.77
Seychelles,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),52.77
Sierra Leone,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),53.09
Sierra Leone,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),62.08
Sierra Leone,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),65.32
Sierra Leone,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),65.32
Singapore,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.14
Singapore,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.14
Singapore,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),21.14
Singapore,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),21.14
Slovakia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),73.08
Slovakia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),74.19
Slovakia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),85.79
Slovakia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),85.79
Slovenia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),70.87
Slovenia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),70.94
Slovenia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),73.81
Slovenia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),73.81
Somalia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Somalia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Somalia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Somalia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
South Africa,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),30.25
South Africa,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),30.88
South Africa,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),36.46
South Africa,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),36.6
South Sudan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),29.85
South Sudan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6
South Sudan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6
South Sudan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),33.6
Spain,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),44.01
Spain,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.1
Spain,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),57.62
Spain,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),57.62
Sri Lanka,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),36.97
Sri Lanka,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),41.11
Sri Lanka,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),43.69
Sri Lanka,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),43.69
Sudan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),9.09
Sudan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),9.09
Sudan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),17.81
Sudan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),17.81
Suriname,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),51.19
Suriname,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),51.19
Suriname,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),51.19
Suriname,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),51.19
Sweden,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),55.04
Sweden,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.12
Sweden,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.47
Sweden,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),59.47
Switzerland,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),33.34
Switzerland,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),34.38
Switzerland,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),37.09
Switzerland,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),37.09
Syria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Syria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Syria,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Syria,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),0.0
Tajikistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),15.77
Tajikistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),15.77
Tajikistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),16.81
Tajikistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),16.81
Thailand,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),63.36
Thailand,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),66.74
Thailand,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),68.03
Thailand,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),68.04
Timor-Leste,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),12.97
Timor-Leste,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),40.67
Timor-Leste,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),45.58
Timor-Leste,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),45.58
Togo,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45
Togo,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45
Togo,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45
Togo,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),79.45
Tonga,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07
Tonga,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07
Tonga,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07
Tonga,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),26.07
Trinidad & Tobago,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),32.0
Trinidad & Tobago,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),32.0
Trinidad & Tobago,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),32.0
Trinidad & Tobago,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),32.0
Tunisia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),14.69
Tunisia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.02
Tunisia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),39.8
Tunisia,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),39.8
Turkey,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Turkey,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.25
Turkey,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),2.3
Turkmenistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04
Turkmenistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04
Turkmenistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04
Turkmenistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),14.04
Uganda,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),65.87
Uganda,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24
Uganda,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24
Uganda,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),72.24
Ukraine,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.37
Ukraine,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),57.26
Ukraine,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),59.77
Ukraine,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),59.77
United Arab Emirates,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),27.77
United Arab Emirates,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),29.23
United Arab Emirates,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),58.22
United Arab Emirates,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),58.22
United Kingdom,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),81.54
United Kingdom,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),82.52
United Kingdom,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),83.39
United Kingdom,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),83.39
Tanzania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),56.72
Tanzania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),59.03
Tanzania,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),65.96
Tanzania,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),65.96
United States,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),35.43
United States,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),36.79
United States,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),38.29
United States,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),38.29
Uruguay,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),6.32
Uruguay,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),11.96
Uruguay,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),23.3
Uruguay,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),23.3
Uzbekistan,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),13.17
Uzbekistan,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),13.17
Uzbekistan,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),20.53
Uzbekistan,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),20.53
Vanuatu,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84
Vanuatu,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84
Vanuatu,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84
Vanuatu,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),2.84
Venezuela,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78
Venezuela,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78
Venezuela,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78
Venezuela,2023,Important sites for terrestrial biodiversity protected (% of total sites protected),78.78
